Solvent,Temperature_K,Density_g/cm^3,Source
n-Octane,319.15,0.68142,"NIST Chemistry WebBook, SRD 69"
n-Octane,320.15,0.68059,"NIST Chemistry WebBook, SRD 69"
n-Octane,321.15,0.67976,"NIST Chemistry WebBook, SRD 69"
n-Octane,322.15,0.67893,"NIST Chemistry WebBook, SRD 69"
n-Octane,323.15,0.67810,"NIST Chemistry WebBook, SRD 69"
n-Octane,324.15,0.67727,"NIST Chemistry WebBook, SRD 69"
n-Octane,325.15,0.67644,"NIST Chemistry WebBook, SRD 69"
n-Octane,326.15,0.67561,"NIST Chemistry WebBook, SRD 69"
n-Octane,327.15,0.67477,"NIST Chemistry WebBook, SRD 69"
n-Octane,328.15,0.67394,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,283.15,0.75687,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,284.15,0.75613,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,285.15,0.75538,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,286.15,0.75464,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,287.15,0.75389,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,288.15,0.75315,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,289.15,0.75241,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,290.15,0.75166,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,291.15,0.75092,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,292.15,0.75018,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,293.15,0.74944,"NIST Chemistry WebBook, SRD 69"
n-Dodecane,294.15,0.74870,"NIST Chemistry WebBook, SRD 69"
